"Date","Source","Site ID","POC","Daily Mean PM2.5 Concentration","Units","Daily AQI Value","Local Site Name","Daily Obs Count","Percent Complete","AQS Parameter Code","AQS Parameter Description","Method Code","Method Description","CBSA Code","CBSA Name","State FIPS Code","State","County FIPS Code","County","Site Latitude","Site Longitude"
"03/05/2015","AQS","530330017","4","12.4","ug/m3 LC","57","NORTH BEND - NORTH BEND WAY","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","771","Correlated Radiance Research M903 With Heated Inlet","42660","Seattle-Tacoma-Bellevue, WA","53","Washington","033","King","47.49022","-121.77278"
"03/06/2015","AQS","530330017","4","12.8","ug/m3 LC","58","NORTH BEND - NORTH BEND WAY","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","771","Correlated Radiance Research M903 With Heated Inlet","42660","Seattle-Tacoma-Bellevue, WA","53","Washington","033","King","47.49022","-121.77278"
"03/07/2015","AQS","530330017","4","17.1","ug/m3 LC","66","NORTH BEND - NORTH BEND WAY","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","771","Correlated Radiance Research M903 With Heated Inlet","42660","Seattle-Tacoma-Bellevue, WA","53","Washington","033","King","47.49022","-121.77278"
"03/08/2015","AQS","530330017","4","14.3","ug/m3 LC","61","NORTH BEND - NORTH BEND WAY","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","771","Correlated Radiance Research M903 With Heated Inlet","42660","Seattle-Tacoma-Bellevue, WA","53","Washington","033","King","47.49022","-121.77278"
"03/09/2015","AQS","530330017","4","9.9","ug/m3 LC","52","NORTH BEND - NORTH BEND WAY","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","771","Correlated Radiance Research M903 With Heated Inlet","42660","Seattle-Tacoma-Bellevue, WA","53","Washington","033","King","47.49022","-121.77278"
"03/10/2015","AQS","530330017","4","9.5","ug/m3 LC","52","NORTH BEND - NORTH BEND WAY","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","771","Correlated Radiance Research M903 With Heated Inlet","42660","Seattle-Tacoma-Bellevue, WA","53","Washington","033","King","47.49022","-121.77278"
"03/11/2015","AQS","530330017","4","4.7","ug/m3 LC","26","NORTH BEND - NORTH BEND WAY","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","771","Correlated Radiance Research M903 With Heated Inlet","42660","Seattle-Tacoma-Bellevue, WA","53","Washington","033","King","47.49022","-121.77278"
"03/12/2015","AQS","530330017","4","2.7","ug/m3 LC","15","NORTH BEND - NORTH BEND WAY","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","771","Correlated Radiance Research M903 With Heated Inlet","42660","Seattle-Tacoma-Bellevue, WA","53","Washington","033","King","47.49022","-121.77278"
"03/13/2015","AQS","530330017","4","2.6","ug/m3 LC","14","NORTH BEND - NORTH BEND WAY","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","771","Correlated Radiance Research M903 With Heated Inlet","42660","Seattle-Tacoma-Bellevue, WA","53","Washington","033","King","47.49022","-121.77278"
"03/14/2015","AQS","530330017","4","2.5","ug/m3 LC","14","NORTH BEND - NORTH BEND WAY","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","771","Correlated Radiance Research M903 With Heated Inlet","42660","Seattle-Tacoma-Bellevue, WA","53","Washington","033","King","47.49022","-121.77278"
"03/15/2015","AQS","530330017","4","1.9","ug/m3 LC","11","NORTH BEND - NORTH BEND WAY","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","771","Correlated Radiance Research M903 With Heated Inlet","42660","Seattle-Tacoma-Bellevue, WA","53","Washington","033","King","47.49022","-121.77278"
"03/16/2015","AQS","530330017","4","2","ug/m3 LC","11","NORTH BEND - NORTH BEND WAY","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","771","Correlated Radiance Research M903 With Heated Inlet","42660","Seattle-Tacoma-Bellevue, WA","53","Washington","033","King","47.49022","-121.77278"
"03/17/2015","AQS","530330017","4","2.6","ug/m3 LC","14","NORTH BEND - NORTH BEND WAY","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","771","Correlated Radiance Research M903 With Heated Inlet","42660","Seattle-Tacoma-Bellevue, WA","53","Washington","033","King","47.49022","-121.77278"
"03/18/2015","AQS","530330017","4","2.5","ug/m3 LC","14","NORTH BEND - NORTH BEND WAY","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","771","Correlated Radiance Research M903 With Heated Inlet","42660","Seattle-Tacoma-Bellevue, WA","53","Washington","033","King","47.49022","-121.77278"
"03/19/2015","AQS","530330017","4","2.7","ug/m3 LC","15","NORTH BEND - NORTH BEND WAY","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","771","Correlated Radiance Research M903 With Heated Inlet","42660","Seattle-Tacoma-Bellevue, WA","53","Washington","033","King","47.49022","-121.77278"
"03/20/2015","AQS","530330017","4","3.2","ug/m3 LC","18","NORTH BEND - NORTH BEND WAY","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","771","Correlated Radiance Research M903 With Heated Inlet","42660","Seattle-Tacoma-Bellevue, WA","53","Washington","033","King","47.49022","-121.77278"
"03/21/2015","AQS","530330017","4","2.7","ug/m3 LC","15","NORTH BEND - NORTH BEND WAY","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","771","Correlated Radiance Research M903 With Heated Inlet","42660","Seattle-Tacoma-Bellevue, WA","53","Washington","033","King","47.49022","-121.77278"
"03/22/2015","AQS","530330017","4","3.2","ug/m3 LC","18","NORTH BEND - NORTH BEND WAY","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","771","Correlated Radiance Research M903 With Heated Inlet","42660","Seattle-Tacoma-Bellevue, WA","53","Washington","033","King","47.49022","-121.77278"
"03/23/2015","AQS","530330017","4","2.9","ug/m3 LC","16","NORTH BEND - NORTH BEND WAY","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","771","Correlated Radiance Research M903 With Heated Inlet","42660","Seattle-Tacoma-Bellevue, WA","53","Washington","033","King","47.49022","-121.77278"
"03/24/2015","AQS","530330017","4","2.8","ug/m3 LC","16","NORTH BEND - NORTH BEND WAY","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","771","Correlated Radiance Research M903 With Heated Inlet","42660","Seattle-Tacoma-Bellevue, WA","53","Washington","033","King","47.49022","-121.77278"
"03/25/2015","AQS","530330017","4","2","ug/m3 LC","11","NORTH BEND - NORTH BEND WAY","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","771","Correlated Radiance Research M903 With Heated Inlet","42660","Seattle-Tacoma-Bellevue, WA","53","Washington","033","King","47.49022","-121.77278"
"03/26/2015","AQS","530330017","4","3.8","ug/m3 LC","21","NORTH BEND - NORTH BEND WAY","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","771","Correlated Radiance Research M903 With Heated Inlet","42660","Seattle-Tacoma-Bellevue, WA","53","Washington","033","King","47.49022","-121.77278"
